,Date,BTC,IBEX
359,2015-09-11,238.328995,9877.0
360,2015-09-12,239.854996,9877.0
361,2015-09-13,235.242004,9877.0
362,2015-09-14,230.608994,9764.799805
363,2015-09-15,230.492004,9708.299805
364,2015-09-16,230.25,9869.5
365,2015-09-17,229.076004,10015.0
366,2015-09-18,233.520996,10048.599609
367,2015-09-19,232.858002,10048.599609
368,2015-09-20,231.399002,10048.599609
369,2015-09-21,231.216995,9826.099609
370,2015-09-22,226.968994,9856.099609
371,2015-09-23,230.936005,9529.0
372,2015-09-24,230.358002,9492.099609
373,2015-09-25,234.362,9444.200195
374,2015-09-26,235.076004,9444.200195
375,2015-09-27,234.139008,9444.200195
376,2015-09-28,232.835999,9500.900391
377,2015-09-29,239.016006,9280.400391
378,2015-09-30,236.639999,9580.599609
379,2015-10-01,236.003998,9668.900391
380,2015-10-02,237.264008,9650.400391
381,2015-10-03,237.201996,9650.400391
382,2015-10-04,238.531006,9650.400391
383,2015-10-05,238.147003,9777.299805
384,2015-10-06,240.363998,9996.5
385,2015-10-07,246.169998,10176.099609
386,2015-10-08,243.074997,10137.799805
387,2015-10-09,242.498001,10279.099609
388,2015-10-10,243.740005,10279.099609
389,2015-10-11,244.742004,10279.099609
390,2015-10-12,246.875,10318.799805
391,2015-10-13,245.199997,10227.400391
392,2015-10-14,249.492996,10065.400391
393,2015-10-15,252.106995,10132.099609
394,2015-10-16,254.296005,10174.900391
395,2015-10-17,262.747009,10174.900391
396,2015-10-18,270.907013,10174.900391
397,2015-10-19,261.860992,10221.5
398,2015-10-20,263.571991,10196.799805
399,2015-10-21,269.306,10126.099609
400,2015-10-22,266.496002,10130.099609
401,2015-10-23,273.648987,10449.700195
402,2015-10-24,276.503998,10449.700195
403,2015-10-25,281.445007,10449.700195
404,2015-10-26,283.627991,10473.900391
405,2015-10-27,285.181,10458.200195
406,2015-10-28,293.703003,10321.0
407,2015-10-29,304.324005,10451.799805
408,2015-10-30,313.942993,10394.200195
409,2015-10-31,328.511993,10394.200195
410,2015-11-01,315.005005,10394.200195
411,2015-11-02,325.941986,10279.299805
412,2015-11-03,361.872986,10398.599609
413,2015-11-04,403.664001,10524.799805
414,2015-11-05,408.076996,10483.900391
415,2015-11-06,388.046997,10425.799805
416,2015-11-07,374.269012,10425.799805
417,2015-11-08,384.278015,10425.799805
418,2015-11-09,374.324005,10451.599609
419,2015-11-10,379.984009,10364.0
420,2015-11-11,339.820007,10345.099609
421,2015-11-12,314.07901,10350.599609
422,2015-11-13,338.497986,10118.299805
423,2015-11-14,336.623993,10118.299805
424,2015-11-15,333.050995,10118.299805
425,2015-11-16,319.734985,10012.400391
426,2015-11-17,330.362,10214.599609
427,2015-11-18,334.592987,10284.0
428,2015-11-19,334.678986,10340.5
429,2015-11-20,326.411011,10373.200195
430,2015-11-21,322.09201,10373.200195
431,2015-11-22,326.975006,10373.200195
432,2015-11-23,324.350006,10262.299805
433,2015-11-24,323.014008,10231.299805
434,2015-11-25,320.045013,10184.200195
435,2015-11-26,328.303009,10217.299805
436,2015-11-27,351.860992,10285.799805
437,2015-11-28,357.140991,10285.799805
438,2015-11-29,357.471985,10285.799805
439,2015-11-30,371.437012,10299.0
440,2015-12-01,377.414001,10409.900391
441,2015-12-02,361.845001,10411.900391
442,2015-12-03,359.330994,10353.400391
443,2015-12-04,361.261993,10046.099609
444,2015-12-05,363.721008,10046.099609
445,2015-12-06,389.554993,10046.099609
446,2015-12-07,389.977997,10139.0
447,2015-12-08,395.753998,10029.0
